LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,LODGEMENT_DATETIME,PRIMARY_ENERGY_VALUE,UPRN,UPRN_SOURCE
e60cd105fb451599762696942464e6af9a8edb9b552d6853353aba5714dbb918,,Guess,160 Regent Street,W1B 5SP,10003551129,86,D,A1/A2 Retail and Financial/Professional services,2019-03-01,E09000033,E14000639,,2019-03-12,Voluntary (No legal requirement for an EPC).,32,86,5,Grid Supplied Electricity,,,,901,43.77,28.17,75.12,75.1,Yes,,1.0,4,Air Conditioning,"Guess, 160 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-03-12,455,,
142848927952019030416412808009662,,199-201 Regent Street,,W1B 4LZ,620078660000,124,E,A1/A2 Retail and Financial/Professional services,2019-02-12,E09000033,E14000639,Greater London Authority,2019-03-04,Mandatory issue (Marketed sale).,25,73,3,Grid Supplied Electricity,,,,314,45.8,22.76,66.71,113.18,No,,,4,Heating and Natural Ventilation,199-201 Regent Street,Westminster,Cities of London and Westminster,LONDON,2019-03-04 16:41:28,,,
15287880022019030416425867020310,,Timberland,144 Regent Street,W1B 5SQ,166384750000,64,C,A1/A2 Retail and Financial/Professional services,2019-02-07,E09000033,E14000639,Greater London Authority,2019-03-04,Mandatory issue (Property to let).,35,94,5,Grid Supplied Electricity,,,,514,39.26,27.59,73.57,50.12,Yes,,2.0,4,Air Conditioning,"Timberland, 144 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-03-04 16:42:58,,10033589363,Address Matched
17431150802019022212060656710020,"PART BASEMENT, GROUND AND 1ST FLOORS",172 Regent Street,,W1B 5TH,187715750001,103,E,A1/A2 Retail and Financial/Professional services,2019-02-06,E09000033,E14000639,Greater London Authority,2019-02-22,Mandatory issue (Property to let).,30,80,5,Grid Supplied Electricity,,,,482,47.15,28.28,75.42,96.99,Yes,,2.0,5,Air Conditioning,"PART BASEMENT, GROUND AND 1ST FLOORS, 172 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-02-22 12:06:06,,,
14983440022019022115530813020660,,Brooks Bros,"Chesham House, 150 Regent Street",W1B 5SJ,619044330000,72,C,A1/A2 Retail and Financial/Professional services,2019-02-06,E09000033,E14000639,Greater London Authority,2019-02-21,Mandatory issue (Property to let).,34,91,5,Grid Supplied Electricity,,,,1090,46.86,32.04,85.43,67.31,Yes,,2.0,5,Air Conditioning,"Brooks Bros, Chesham House, 150 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-02-21 15:53:08,,10033589362,Address Matched
142099643052019021314261401009758,,65 Regent Street,,W1B 4DZ,788031350000,79,D,A1/A2 Retail and Financial/Professional services,2019-02-04,E09000033,E14000639,Greater London Authority,2019-02-13,Mandatory issue (Marketed sale).,25,72,3,Grid Supplied Electricity,,,,36,75.37,37.06,108.61,119.08,No,,,4,Heating and Natural Ventilation,65 Regent Street,Westminster,Cities of London and Westminster,LONDON,2019-02-13 14:26:14,,10033555876,Address Matched
142225500022019021314311564020490,,69 Regent Street,,W1B 4ED,969602430000,76,D,A1/A2 Retail and Financial/Professional services,2019-02-04,E09000033,E14000639,Greater London Authority,2019-02-13,Mandatory issue (Marketed sale).,32,94,3,Grid Supplied Electricity,,,,213,39.21,25.02,73.33,59.26,No,,,4,Air Conditioning,69 Regent Street,Westminster,Cities of London and Westminster,LONDON,2019-02-13 14:31:15,,10033542338,Address Matched
141196080922019011010301480290034,UNIT 3,Quadrant Arcade,80-82 Regent Street,W1B 5HB,388381040004,70,C,A1/A2 Retail and Financial/Professional services,2018-11-20,E09000033,E14000639,Greater London Authority,2019-01-10,Mandatory issue (Property on construction).,20,58,3,Grid Supplied Electricity,,,,98,83.88,33.47,98.07,117.22,No,,,4,Heating and Natural Ventilation,"UNIT 3, Quadrant Arcade, 80-82 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-01-10 10:30:14,,,
141196138532019011010381303900898,UNIT 4,Quadrant Arcade,80-82 Regent Street,W1B 5HB,388381040005,94,D,A1/A2 Retail and Financial/Professional services,2018-11-20,E09000033,E14000639,Greater London Authority,2019-01-10,Mandatory issue (Property on construction).,22,64,3,Grid Supplied Electricity,,,,170,85.99,37.27,109.21,162.08,No,,,4,Heating and Natural Ventilation,"UNIT 4, Quadrant Arcade, 80-82 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-01-10 10:38:13,,,
141201210842019011010435140069290,UNIT 5,Quadrant Arcade,80-82 Regent Street,W1B 5HB,388381040006,96,D,A1/A2 Retail and Financial/Professional services,2018-11-20,E09000033,E14000639,Greater London Authority,2019-01-10,Mandatory issue (Property on construction).,22,65,3,Grid Supplied Electricity,,,,193,91.78,40.5,118.69,175.7,No,,,4,Heating and Natural Ventilation,"UNIT 5, Quadrant Arcade, 80-82 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-01-10 10:43:51,,,
